PK,CCR,GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1078081,16157849,M,B,29,2016-08-22T23:45:00,"200 Block N DITHRIDGE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,North Oakland,4,507,8,3,-79.95169208,40.44931132
1078082,16157849,M,W,21,2016-08-22T23:45:00,"200 Block N DITHRIDGE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,North Oakland,4,507,8,3,-79.95169208,40.44931132
1078083,16159579,,,,2016-08-25T11:10:00,"NORTH PARK PITTSBURGH, PA ",5505 Public Drunkenness,Allegheny Center,1,2204,,,0,0
1078084,16159780,M,B,22,2016-08-25T16:42:00,"7200 Block FRANKSTOWN AV PITTSBURGH, PA ","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",Homewood South,5,1303,9,2,-79.89625374,40.45732934
1078085,16161591,F,W,22,2016-08-28T00:58:00,"6100 Block BERLIN WY PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Upper Lawrenceville,2,1011,7,2,-79.9466636,40.48540307
1078086,16162400,M,W,28,2016-08-29T10:34:00,"MARKET ST & 5TH AV PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Golden Triangle/Civic Arena,2,201,6,6,-80.00210877,40.44138289
1078087,16162524,M,B,56,2016-08-29T13:00:00,"MARKET ST & FORBES AV PITTSBURGH, PA ",601.08 (a) Open Container Law,Golden Triangle/Civic Arena,1,201,6,6,-80.00218991,40.44058363
1078088,16162524,M,W,44,2016-08-29T13:00:00,"MARKET ST & FORBES AV PITTSBURGH, PA ",601.08 (a) Open Container Law,Golden Triangle/Civic Arena,1,201,6,6,-80.00218991,40.44058363
1078089,16083638,M,W,50,2016-05-07T16:30:00,"40TH ST & DAVISON ST PITTSBURGH, PA ",5505 Public Drunkenness,Lower Lawrenceville,2,603,7,2,-79.96090293,40.46758457
1078090,16077700,M,B,24,2016-04-29T01:05:00,"80 Block S 15TH ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,South Side Flats,3,1702,3,3,-79.98357299,40.4285553
1078091,16077700,M,B,24,2016-04-29T01:05:00,"80 Block S 15TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98357299,40.4285553
1078092,16078368,M,W,22,2016-04-30T02:01:00,"S 16TH ST & ROLAND ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98283645,40.42854098
1078093,16083547,M,B,31,2016-05-07T13:50:00,"700 Block COLLINS AV PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,East Liberty,5,1113,9,2,-79.91824359,40.46739223
1078094,16083547,M,B,31,2016-05-07T13:47:00,"700 Block COLLINS AV PITTSBURGH, PA ",601.10 (a) Spitting,East Liberty,5,1113,9,2,-79.91824359,40.46739223
1078042,16083707,M,B,30,2016-05-07T18:20:00,"300 Block S BRADDOCK AV PITTSBURGH, PA ","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",Point Breeze,4,1406,9,3,-79.89635002,40.44542498
1078043,16048495,M,W,27,2016-03-18T00:50:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.98330671,40.42868483
1078044,16048495,M,W,27,2016-03-18T00:45:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98330671,40.42868483
1078045,16053139,M,W,20,2016-03-25T00:11:00,"300 Block SEMPLE ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.95709363,40.43873757
1078046,16053139,M,W,20,2016-03-25T00:11:00,"300 Block SEMPLE ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.95709363,40.43873757
1078047,16053139,M,W,20,2016-03-25T00:11:00,"300 Block SEMPLE ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.95709363,40.43873757
1078048,16053206,M,W,21,2016-03-25T02:20:00,"S 16TH ST & ROLAND ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98283645,40.42854098
1078049,16053206,M,W,21,2016-03-25T02:20:00,"S 16TH ST & ROLAND ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98283645,40.42854098
1078050,16053250,F,B,26,2016-03-25T01:55:00,"WEST LIBERTY AV & PIONEER AV PITTSBURGH, PA ",5505 Public Drunkenness,Brookline,6,1917,4,5,-80.01011991,40.41291213
1078051,16053250,F,B,26,2016-03-25T01:55:00,"WEST LIBERTY AV & PIONEER AV PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Brookline,6,1917,4,5,-80.01011991,40.41291213
1078052,16053584,M,W,50,2016-03-25T17:11:00,"1600 Block BROADWAY AV PITTSBURGH, PA ",5505 Public Drunkenness,Beechview,6,1916,4,5,-80.02494761,40.41044189
1078053,16053748,M,B,59,2016-03-25T15:30:00,"5TH AV & WYANDOTTE ST PITTSBURGH, PA ",5505 Public Drunkenness,Bluff,2,103,6,3,-79.97754462,40.43822896
1078054,16053826,M,W,23,2016-03-25T23:33:00,"E CARSON ST & S 15TH ST PITTSBURGH, PA ",601.08 (a) Open Container Law,South Side Flats,3,1702,3,3,-79.98342493,40.42881518
1078055,16053840,M,B,31,2016-03-26T00:01:00,"2000 Block WEST LIBERTY AV PITTSBURGH, PA ",5505 Public Drunkenness,Beechview,6,1920,7,6,-79.9830894,40.45099761
1078056,16036191,M,W,36,2016-03-02T00:30:00,"E CARSON ST & S 18TH ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.98056196,40.42875859
1078057,16053841,M,W,33,2016-03-26T00:05:00,"200 Block ATWOOD ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Central Oakland,4,405,3,3,-79.95688887,40.44042041
1078221,16172883,F,B,40,2016-09-12T23:23:00,"200 Block HAZELWOOD AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Hazelwood,4,1515,5,3,-79.94153447,40.41180281
1078222,16174796,F,W,41,2016-09-15T17:43:00,"1900 Block SAW MILL RUN BL PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Overbrook,3,3204,4,5,-79.997222,40.3940269
1078223,16174383,M,W,24,2016-09-11T02:45:00,"S 17TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98204758,40.42883493
1078321,16163670,M,W,29,2016-09-17T01:49:00,"1300 Block E CARSON ST PITTSBURGH, PA ",601.12 Interference with Official Duties,South Side Flats,3,1702,3,3,-79.98517511,40.42860697
1078322,16169857,F,B,27,2016-09-09T21:30:00,"300 Block ARABELLA ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Knoxville,3,3001,3,5,-79.99306681,40.4121654
1078323,16171890,M,B,52,2016-09-11T14:24:00,"1900 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.97896499,40.42846581
1078324,16174871,F,B,14,2016-09-15T20:00:00,"600 Block JOHNSTON AV PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,Glen Hazel,4,1504,5,3,-79.93493858,40.40482294
1078325,16175011,M,W,22,2016-09-16T00:22:00,"3400 Block PARKVIEW AV PITTSBURGH, PA ",601.04 (c) (1) Residential 0700-2200  >65dB(A) 2200-0700 >60dB(A),Central Oakland,4,406,3,3,-79.95183192,40.43463456
1077917,16002105,F,B,52,2016-01-15T21:30:00,"2300 Block BROWNSVILLE RD PITTSBURGH, PA ",5505 Public Drunkenness,Carrick,3,2901,4,3,-79.98551986,40.38904931
1077918,16002105,F,B,52,2016-01-15T21:30:00,"10 Block CARRICK AV PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Carrick,3,2901,4,3,-79.98297307,40.3872366
1077919,16012698,M,W,57,2016-01-21T18:30:00,"800 Block LIBERTY AV PITTSBURGH, PA ",5505 Public Drunkenness,Golden Triangle/Civic Arena,2,201,6,6,-79.99892692,40.44262675
